classification,reasoning
Background,"[' The text contrasts previously reported capabilities with the rarity of reports in specific isolates, citing relevant studies, providing background information.']"
Method,[' The text states that a specific equation (Lineweaver-Burke [27]) was used in the current study for calculations related to deformability.']
Method,[' The text describes a technique (early-fruit removal) and its application in a previous cited study to investigate specific plant traits.']
Method,"[' The text describes specific heuristics (LKH) and implementations relevant to the methods, citing the original sources and implementation details.']"
Background,"[' The text discusses the insufficiency of other methods of elevated CK signaling based on previous cited studies, providing background information and potential explanations.']"
Background,"[' The text presents findings from past cited studies regarding the effect of a specific Dscam transgene, providing background context relevant to the current results.']"
Result,[' The text explicitly contrasts the current finding with the result obtained in a previous analysis by the same authors (cited).']
Background,"[' The text draws an inference based on the established knowledge that BARE-2 is a chimera, citing the source for this premise.']"
Method,"[' The text describes the measurement scale (DES-II) used in the study, including what it measures and citations for its development.']"
Background,"[' The text provides definitional information about Rutin, including its chemical structure, synonyms, classification, and natural sources, citing relevant literature.']"
Method,"["" The text describes a software package and a specific algorithm it contains, likely used as part of the study's implementation or methodology.""]"
Background,"[' The text summarizes findings revealed in previous cited work regarding the phenotype of Dusp6 mutant mice, providing background information.']"
Background,"[' The text describes the established complexity of butanol tolerance based on cited studies, highlighting the challenges in the field and providing background context.']"
Background,"[' The text describes a known biological mechanism involving GATA4 and ANP, citing a source, and mentions its suppression by sorafenib, providing background information.']"
Result,"[' The text explicitly describes a finding of the current study (""second finding of our study"") concerning the association between specific T cells and VELIPI.']"
Background,"[' The text states the most common mechanisms reported in the literature ([3]) for a phenomenon, providing background information.']"
Method,"[' The text describes the survey methodology used in the study, including the specific questionnaires employed and citations for their development.']"
Background,"[' The text references observations made by previous cited authors regarding the influence of the minsupp threshold in association rule mining, providing background context on methodology.']"
Method,"["" The text details the specific psychometric tests and normative data sources used in the study's methodology, citing the references for these tools.""]"
Method,"[' The text describes the substance used and the procedure followed to create lesions, citing previous work for the methodology details.']"
Background,"[' The text describes established characteristics of the channel behavior in the massive MIMO regime, citing a relevant source, providing background information.']"
Background,"[' The text discusses potential consequences of changes in species richness on ecosystems and fisheries, citing relevant literature, providing background context.']"
Background,"[' The text describes known challenges and characteristics of a specific surgical procedure (supracondylar osteotomy), citing multiple sources, providing background information.']"
Result,[' The text explicitly reports a finding from a specific cited study ([46]) regarding improved model performance under certain conditions.']
Background,"[' The text defines insulin resistance and its main consequence, citing supporting literature, providing basic background information.']"
Background,"[' The text describes findings from previous cited studies regarding reduced brain engagement and associated characteristics in depressed patients, providing background context.']"
Background,"[' The text describes a known cellular signaling pathway involving PERK activation and its downstream effects, citing a relevant source, providing background biological context.']"
Method,"[' The text describes the flow cytometry procedure used in the study, including sample type, instrument, and reference to supplementary materials for details.']"
Method,"[' The text describes synchronization as a commonly used method for addressing atomicity violations, citing relevant literature, placing it within the context of related work.']"
Method,[' The text specifies the statistical method (Cohen’s kappa [27]) employed in the study to assess interobserver variability.']
Background,"[' The text introduces the topic of assigning economic values to environmental functions, noting the debate and variety of methodologies employed in previous research (citations), setting the background.']"
Background,"[' The text describes known advantages of ixazomib compared to bortezomib, citing sources, and explains how this has motivated further research, providing background context.']"
Result,"[' The text compares the rates of abscesses observed in different groups of the current study to those from a previous cited study, discussing potential reasons for differences based on other cited work.']"
Background,"[' The text summarizes established findings from multiple cited studies regarding the influence of host species and the necessity of T3SSs in Salmonella infection models, providing background context.']"
Method,"[' The text explicitly describes the action taken (""We reviewed"") and the data source (radiology reports from specific patient subsets) as part of the study\'s methodology.']"
Background,"[' The text describes established effects of herbivory on plant chemistry and species interactions, citing multiple relevant studies, providing background information.']"
Method,"["" The text specifies the datasets used for evaluating the study's method, citing the sources for existing datasets.""]"
Background,"[' The text describes known regulatory aspects and functional involvements of a biological entity based on cited literature, providing background information.']"
Background,[' The text reports conclusions drawn in previous cited studies regarding the effects of muscular activity and pre-loads on trunk stiffness and stability.']
Background,"[' The text describes the perceived effects and roles of a specific post-translational modification based on cited literature, providing background context.']"
Background,"[' The text describes known or potential roles and localization mechanisms of PP1c involving scaffold proteins and neurabins, based on cited literature, providing background information.']"
Result,"[' The text explicitly reports a statistically significant finding (""significantly higher"") from the current study (""In this study""), including specific values and the p-value.']"
Method,"[' The text describes materials used (plastic boards) and their purpose (GCPs) within the data collection methodology, citing a relevant source.']"
Background,[' The text provides support for an assumption by referencing findings from previous cited studies on the effects of flutamide exposure.']
Background,"[' The text describes a pattern of nutrient availability observed in previous cited studies on long-term gradients, providing background context.']"
Method,"["" The text specifies the different screening methods employed for different types of rules within the study's experimental methodology.""]"
Method,"[' The text introduces a specific analysis technique (MBIM) and its purpose, citing the study where it was originally introduced.']"
Background,"[' The text summarizes suggestions and findings from previous cited studies regarding the role of FcRn in mAb bioavailability, providing background context.']"
Method,"[' The text specifies the criteria used for diagnosing cirrhosis in the study subjects, citing a reference for these criteria.']"
Background,"[' The text describes the potential imaging manifestations of retroperitoneal air, citing sources that establish these diagnostic signs, providing background context.']"
Method,[' The text justifies the importance of a methodological element (time delay) by explaining its known effects based on findings from multiple cited previous studies.']
Method,[' The text describes the ESI scoring system levels (citing its source) and details the inclusion criteria used for patient selection in the current study.']
Result,"[' The text discusses the implications of the current study\'s findings (""high numbers... found"") for conservation, relating them to previous proposals and ongoing conservation efforts cited in the literature.']"
Background,"[' The text summarizes the current understanding of distinct signaling pathways activated by shear stress, detailing involved components based on multiple cited sources, providing background information.']"
Method,"[' The text details the phylogenetic analysis method used, including the software, type of constraints, and references for both the constraints and the software.']"
Method,"[' The text defines the ""Dense Trajectory features"" used in the methodology, explaining their composition and citing the sources for the underlying descriptors.']"
Background,"[' The text describes a known mechanism involving SPEs functioning as superantigens, supported by numerous citations, providing background information.']"
Result,[' The text describes a negative correlation observed in the study and explicitly states its agreement with findings from previous cited studies.']
Method,"[' The text specifies the use of Mouse IgG as a control in the experiments, including its concentration and citing relevant previous studies.']"
Method,"[' The text discusses the potential issues (inflated R2, overfitting) associated with using PCNM based on suggestions from a cited study, likely explaining a methodological choice or consideration.']"
Background,"[' The text describes the known functional implication and transcriptional regulation of c-IAP2 based on cited literature, providing background context.']"
Background,"[' The text contrasts the function of specific dehydrogenases in mitochondria versus bacteria, citing multiple sources for the bacterial mechanism, providing comparative background information.']"
Result,[' The text compares a proportion measured in the current study (after 28 weeks) to a proportion reported in a previous cited study (after 3 weeks).']
Background,"[' The text summarizes the results observed in one cited study and notes their consistency with the analyses of another cited study, presenting background information.']"
Background,"[' The text refers to the initial report and subsequent worldwide reports of the geographical dispersion of ON1, citing relevant studies, providing historical background.']"
Method,"[' The text states the focus of the current paper and explicitly mentions extending a previous model (SSSF [2]), describing the approach taken.']"
Method,"[' The text describes a strategy proposed in previous cited literature to address a specific problem, outlining a method developed elsewhere.']"
Result,"[' The text discusses the lack of a clear explanation for a finding, using established knowledge from a cited study to explain why the finding was unexpected.']"
Result,"["" The text states an implication drawn from the study's results regarding benefits of solar exposure, referencing previous related information [16].""]"
Background,"[' The text describes known effects and previously reported lack of effects of certain substances based on cited literature, providing background information.']"
Result,"[' The text proposes an attribution for the observed variation in heavy metals, referencing a previous study likely supporting this explanation or context.']"
Background,"[' The text describes a phenomenon (increase in specific phosphorylation) observed in previous cited studies during sperm capacitation, providing background information.']"
Background,"[' The text defines homeoproteins and the homeodomain, describing its conserved nature and function based on foundational cited literature, providing basic background information.']"
Method,"[' The text explains the rationale for the chosen methodology (combining techniques), citing inspiration from previous work [11] and preliminary informal experiments.']"
Background,"[' The text describes known characteristics of a specific translocation event based on cited previous studies, providing background information.']"
Background,"["" The text describes and defines a central event ('balls') within the HBC community, citing a relevant source, providing background context.""]"
Background,"[' The text lists examples of biological processes previously studied or relevant to the context, citing multiple sources for each example.']"
Background,"[' The text describes the potential effects and benefits of a particular approach (likely related to antigen delivery), citing a source, providing background information.']"
Method,"[' The text specifies the particular implementations of algorithms (group Lasso, GMKL) used in the study, citing the sources for these implementations.']"
Method,"[' The text describes a specific class of methods (appearance-based approaches) used in the field, explaining the basic principle and citing relevant literature.']"
Method,[' The text specifies a parameter value used in the experimental settings and justifies this choice based on findings from a previous cited study by the same authors.']
Result,"["" The text states a primary finding regarding the effect of the PKCη-C2 domain, while providing background context about the domain's known function based on a cited study.""]"
Method,"[' The text discusses the implementation possibilities and characteristics of different pivoting schemes, referencing previous work where these schemes are described or used.']"
Background,[' The text describes the historical development and improvement of a specific architecture by referencing the original proposal and subsequent modifications in cited works.']
Method,"[' The text defines the ""three-sigma signal"" criterion used in the methodology, citing a reference.']"
Background,"[' The text states that the analysis of neural networks with time delays is an active area of research, citing numerous relevant studies as evidence.']"
Method,"[' The text identifies specific systems (RiMOM [66], iliads [98]) as examples of approaches addressing a particular alignment problem, describing methods from prior work.']"
Result,"["" The text explicitly states that the current study's results are consistent with findings from a previously cited study on mitral-tufted cell responses.""]"
Method,"[' The text describes steps in the experimental procedure involving signal processing, mentioning specific equipment and citing a source for the circuit used.']"
Background,[' The text describes a proposed mechanism (antipausing) and cites evidence from a previous study supporting this mechanism under specific conditions.']
Background,[' The text describes an observation (synaptic depression) reported in previous cited studies concerning layer 5 pyramidal neurons.']
Result,"[' The text explicitly states a finding (""I find that..."") of the current study regarding the estimated economic response, referencing the methodology used.']"
Background,"[' The text states the known neural correlate (orbitofrontal cortex) required for the reversal component, based on multiple cited studies, providing background information.']"
Method,"[' The text describes methodological considerations regarding potential under/overestimation in exposure, outcome, and confounding assessment, citing relevant sources.']"
Method,"[' The text specifies that TNM staging was performed according to established AJCC guidelines, citing the reference for these guidelines.']"
Method,"[' The text describes a model introduced in a previous cited study, relates it to another model, and provides an interpretation, discussing prior methodological work.']"
Result,"[' The text states that a previously reported inadequacy (cited) is ""further strengthened by our results"", linking the current findings to prior work.']"
Result,[' The text describes how comparison with known distributions (cited) confirmed a pattern of expression observed in the current study.']
Result,[' The text reports a finding from the current study regarding the risk associated with throat pack use and explicitly contrasts this finding with results from previous cited studies.']
Method,"[' The text explains the rationale for choosing a specific anesthetic (bupivacaine) by describing its known properties (duration of effect) based on cited literature and comparing it to an alternative, justifying a methodological choice.']"
Background,"[' The text mentions new approaches emerging in the field of THz applications, citing relevant literature, providing background on recent developments.']"
Background,"[' The text describes known characteristics (resistance and inhibition profiles) of a biological entity, citing relevant sources, providing background information.']"
Background,"[' The text proposes a possible formation scenario based on previously reported observations and orientations of geological features, citing the relevant study.']"
Method,"[' The text explicitly states the estimation method (VAR) used in the current study and identifies a specific index included, citing its source.']"
Method,[]
