,label,sectionName,string,classification
83,method,RESULTS,"GFP-Pex34p, like the peroxisomal matrix protein Pot1p, localized preferentially to a 20,000 × g pellet (20KgP) fraction enriched for mature peroxisomes and some forms of immature peroxisomes (Tam et al., 2003; Vizeacoumar et al., 2003, 2004) (Figure 1B).",result
86,result,4.3 Accuracy,"The evaluation of the impact in the accuracy of the node’s response has been performed for each supported frequency by comparing the results with our reference model programmed in Matlab which mimics the node’s architecture and is already used in [3], [4], [5] and [6].",method
87,background,Methods,"Mothers with incomplete socio-demographic or labor data (n = 36), caesarean sections (n = 42) or exceptionally long labor (> 24 hours, n = 1) were excluded because labor has been reported to influence lymphocyte distribution [15], leaving 1,397 subjects for this study.",method
92,background,Results,"Straight lines on these semi-log plots are indicative of exponential distributions [4,36].",method
96,background,Introduction,Early-fruit removal in cotton has been used to study plant recovery potential and source-sink relation (Dong et al. 2008b).,method
99,result,Results,"Although MB morphogenesis involves Dscam variants lacking exons 19 and 23, past studies have shown that the Dscam 19 23 transgene, no matter which ectodomain it carries and whether it is fused with GFP at the C terminus or not, can effectively prevent sister branches from extending into the same axon bundle in single-cell clones of Dscam mutant neurons (Wang et al., 2004; Zhan et al., 2004; Soba et al., 2007).",background
102,background,METHODS,"The 28-item Dissociative Experiences Scale–II (DES-II) measures the frequency of psychoform dissociative experiences on a 0–100 scale (Bernstein & Putnam, 1986; Carlson & Putnam, 1993).",method
114,method,C. Uplink Capacity Analysis for Massive MIMO,", in the massive MIMO regime, the channel becomes (nearly) deterministic and the effect of smallscale fading is averaged out [8].",background
117,method,Discussion,[46] reported improved model performance to predict the presence of prairie fish species if information on reach and catchment scale are combined.,result
144,background,Results,"The insertion of this time delay is critical because in previous work, it has been shown to allow the development of an inhibitory relationship between the outcome and the stimulus that follows; that is, it allows S1 to predict the absence of subsequent O1 delivery and S2 to predict the absence of subsequent O2 delivery; that is, stimuli trained in such manner exhibit properties (such as retardation) identical to those display by other conditioned inhibitors (Rescorla, 1969; Maier et al., 1976; Delamater et al., 2003).",method
145,background,Study Design,"Level 1 patients require immediate lifesaving interventions, level 2 patients are in a high-risk situation, are lethargic, confused, or have severe pain, and levels 3, 4, and 5 patients need many, 1, or no resources, respectively.(19) All adult (ie, 18 years of age) nontrauma patients were eligible for inclusion to the study, if they had an ESI score of 2 or 3 and vital signs within the normal range and presented in 1 of the 2 EDs between May 24, 2007, and February 8, 2011.",method
146,background,Discussion,"The high numbers of all three species found in MT confirm the importance of this large, lowland forest block for primate conservation and further support the proposal to restore the Mngeta conservation corridor between US and Iyondo forest, a lowland to montane forest that is contiguous with MT (Rovero et al. 2012; St. John 2008) and is currently under gazettement as forest reserve (N.",result
157,result,INTRODUCTION,"The results observed in the study carried out by Hallal et al. (2006), which analyzed 4452 Brazilian adolescents, are in accordance with the analyses of Davison et al. (2008).",background
159,background,1 Introduction,"We concentrate here on the computational issues, extending the Static Sensor Field model (SSSF) [2], to scenarios in which dynamicity is of relevance.",method
161,background,RESULTS AND DISCUSSION,"The explanation for such finding is not clear, since the pellet dissolves within the proventriculus (Nir et al., 1994c), and thus it was not expected that physical form of the diet would have any effect in this portion of the gastrintestinal tract.",result
162,background,4. Discussion,This implies that about 40% of the study population living in the North would  benefit  from  increasing  the duration  of  solar  exposure  as presented previously  [16].,result
164,background,Results and discussion,The observed levels of heavy metal variation in soil samples could be attributed to the varying amount of metals in the irrigation water as well as other agronomic practices of the respective areas (Yadav et al. 2013).,result
170,method,INTRODUCTION,"…tRNA selection on the ribosome during protein synthesis (Blanchard et al., 2004) (reviewed in Johansson et al., 2008; Rodnina et al., 2005), acetylcholine receptor desensitization (Dilger and Brett, 1990; Matsubara et al., 1992), and subunit rotation of F0F1-ATP synthase (Diez et al., 2004).",background
173,background,1. Introduction,"The first of these is a class of appearance-based approaches in which a linear subspace is used to capture the variation of a particular face due variations in illumination [8, 2, 11].",method
175,background,RESULTS,"PKCη-C2 domain induces chondrogenic diffe-
rentiation in hMSCs The C2 domain of PKCη is thought not to affect substrate-specificity of the kinase but instead aid in its localization to membranous systems (Littler et al., 2006).",result
177,method,4.2 Node Description,The original architecture proposed in [5] has been improved in [6] by rearranging the detection method (DM) in a modular fashion and by reducing the control management.,background
178,background,Methods,The three-sigma signal is triggered when any data point is further than 3 standard deviations away from the overall process average [11].,method
185,background,1 Introduction,"Using the identifying restrictions of Baker et al. (2012), I find that the estimated response of the economy to a shock to policy uncertainty is much larger when the last 4 years of data are included in the dataset.",result
187,background,Methods,"As for exposure assessment, underestimation is considered according to the study designs; conversely for outcome and confounding assessment, overestimation is considered (Porta et al. 2009; WHO 2007; Franchini et al. 2004; Giusti 2009).",method
189,background,3.2.4 Concluding remarks on the Seasonal Error Duration Model,"17Recently, Davidsson & Sibbertsen (2002) introduced a model which nests the Error Duration model of Parke (1999). One interpretation of the model is that innovations become alive again once they have died.",method
193,background,Results,"To block the entire time-course of morphine reward and not just the short time that the animals were in the place-conditioning apparatus immediately after morphine or saline injection, the TPP was reversibly inactivated with the local anesthetic bupivacaine, which has an effect that lasts for at least 2 h (Swerdlow & Jones, 1970; Covino, 1986), compared with the time-course (approximately 30–60 min) of the faster acting anesthetic lidocaine (Covino, 1986).",method
197,background,1 Introduction,"I estimate a vector autoregression (VAR) that includes the policy uncertainty index created by Baker, Bloom, and Davis (2012).",method
