sectionName,string,unique_id,model_classification,reasoning
Implications for Explaining Cooperation: Towards a Classification in Terms of Psychological Mechanisms,"…lifetimes, whereas indirect benefits refer to benefits to genetically related recipients; i.e., benefits that increase the inclusive fitness of benefactors but typicaly imply fitness costs that are not compensated during the benefactors’ lifetimes (Hamilton 1964; Trivers 1971; West et al. 2007).",870abc17d060a72738746f727d9723db088217f9>4e671994e5b0c7aefbecd050e95fdb45272d7e12_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"DOI: 10.7554/eLife.08828 1 of 27
mitochondrial division (Friedman et al., 2011; Korobova et al., 2013; Murley et al., 2013; Korobova et al., 2014).",929a7548464ce1d9d785abbe35da34842c0133e6>21096eb950bdff77308ad3924d69b681589bdc91_11,background,"The citation does not explicitly describe methods or results, likely providing general context."
RESULTS,The remnant of the total plasma membranes after extraction of caveolae is called bulk plasma membranes (40) (Fig.,1b7d342e9e8cfc8f2327c9f62f3d40b4be7e8624>00aadd931a2b4603101a355d6b18f2c2bd17a3cd_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
3. METHODOLOGY,We used an active contour algorithm [10] to segment the organs from 340 coronal slices over the two patients.,5ab47755421be3c564a7ea61f37bfdabc4d3822b>37d72f5eff3540d6a99788c4ca83de2415d8ba1e_0,method,"The citation describes a methodology, experimental setup, or algorithm used in the study."
Providing self-determination opportunities,"For women with competing care-giving responsibilities, this involves allowing them to be accompanied by their children, providing on-site childcare or offering childcare subsidies [64,68,79].",0323f404c7211e8e7f5034f070e3e1a54ecff495>7b889faead3d086f66e10d2b2024f1a85419c7d0_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
6. Mitochondrial Lesions,"This change accelerates mitochondrial electron transport in the respiratory chain and produces more influx of electrons to the mitochondrial matrix, which in turn produces more ROS and RNS [21, 23, 33, 64, 100, 101, 107–118].",cf3d0d63e8ed6cb6bac03c00d21d8b87c83a39d5>3d8487b14c2aae003bcdf41f857e0b51c91f285f_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"Nevertheless, there is no high-quality evidence for the effectiveness of manipulative therapy for the treatment of CR.([8,17,18]) Shi-style cervical manipulation (SCM) is commonly used to treat CR in China.",ebf18b99b02fb3d1db0496847c4a501822c13c5e>8cd504093b651fd4e1ee5cc5695bc607289314b3_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"Consistent with previous reports (al-Khodairy et al., 1995; Seufert et al., 1995; Tanaka et al., 1999; Biggins et al., 2001), our data showed that Smt3 and Ubc9 have pivotal functions during mitosis.",676b19ba1c40fedf4d27a3f48a766ac20b960f8e>fe2fd3262b549d1b36898127e3cc7ca1c1dd3646_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"Scp160p has already been implicated in one such network, the SESA (SMY2/EAP1/SCP160/ASC1) network, in the function of a translational activator (11,25).",10e20e964f4934b478319b37b0617f10880c7d2c>650a68920d6f007cd6d6de8a695fae07e7a8260f_8,background,"The citation does not explicitly describe methods or results, likely providing general context."
GO (cellular component),"Clinical reports of energetic stress in HCM hearts (14, 15) prompted us to measure mitochondrial respiration, mitochondrial copy number, ROS emission/scavenging, and calcium handling in these 2 HCM mouse models.",326861d2fcb678c73ebdb8e065998cbab5f9f6e9>a81fc7d0035f1f651b8454f05274ebeee6dc6acc_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
2.1 Economic and Policy Environment,"Previous empirical analyses of subnational consumer subsidies found that a majority of solar adoption was attributable to subsidies (e.g., Hughes and Podolefsky, 2015; Burr, 2016; De Groote and Verboven, 2016; Gillingham and Tsvetanov, 2017).",2bc41c1556884d73206abcb0f0c3812e4bef205b>d91ae7f9c252cc67980a19231970ee249fcbd92e_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
Results,"The third group of proteins might be necessary to cope with the alterations in electron Xow such as NdhD2, OCP, and the thioredoxin-like AhpC (Ohkawa et al. 2000; Kobayashi et al. 2004; Wilson et al. 2006).",5d3996c173eeedf80bd41f36aff3c0c9da54937a>5142ce7b4f63cb4a956fbb52a07349210dd64cf6_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,These results are consistent with field observations of plasma electrolyte concentrations and thermal behaviour of the lizards Sauromalus hispidus and Uromastix acanthinurus (Grenot 1976; Smits 1984) and laboratory observations of S. hispidus (Smits et al. 1986).,cac9d02d7c9e7a082135858b927fa32770de68dc>None_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"4 lead to a decrease in SC absorption in mice (Deng et al., 2010; Deng et al., 2012).",af794c74a2bfd33336bca2a410ed42a978d98a89>691576326d898a7e56628c7775eb1acd93316a58_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"found that SNPs of MMP-1 were linked to an increased risk of colorectal cancer [12,13].",729825e6d3fad0a83fbcbd456f817d05d4dd28f2>49ceb1ded7f36b2a523f383150782a81d80c6863_1,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
6. DISCUSSION,"Matricellular proteins are thought to contribute to the organization and biomechanical stability of
the ECM by modulating cell-matrix interactions and cell signaling rather than by serving directly as structural components (Bornstein et al., 2000).",0c84e9852f312bb9b0dfd1955ebc3cf56123bf94>2dce7fc0c967c8938391c54b4cde6b377d49175a_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"The beneficial role of PBM as supportive modality in the management of postmastectomy lymphedema is well established based on strong evidence [15, 16] and recent data suggest its beneficial role concerning radiation-induced oral mucositis [17–20].",607f8689d219edadabfcf2cb62c48f946eed9450>1b30fdb090377f302ff8bc8c5f3f1f42ac157c84_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
MATERIALS AND METHODS,"The mitochondrial transmembrane potential was measured using flow cytometry of cells stained with 5,5′,6,6′- tetrachloro-1,1′,3,3′-tetraethylbenzimidazolcarbocyanineiodide (JC-1) (Cossarizza et al., 1993) as described previously (Dymkowska et al., 2006).",c9a63a4272af92612219617b75bcf0c6ab2bfdd7>cb101cdbe7aac08d64577ea4ec526d1663a9899d_6,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"The language models were characterN-grams trained using texts from the Corpus of Spontaneous Japanese (CSJ) [23], which contains 12.",b950f4539f57d008a62d1b14f076fa79362226b0>096bdd2bf22b5f68c1e4f6fb8e684a3e8f47953c_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"Cisplatin has dramatically been used as the first line treatment for several types of solid tumors, such as breast, head and neck, ovarian, and lung cancers [17].",68a0523eae915908c151ce0f00d3289d5944586b>f589dd5ca77e324b57154ffb843cf9857e94d33e_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"In recent years, a similar genotype shift has been observed in South Korea, northern Vietnam, China, Taiwan and Thailand (Chen et al., 2011; Nam et al., 1996; Nga et al., 2004; Nitatpattana et al., 2008; Pan et al., 2011; Wang et al., 2007; Yang et al., 2004; Yun et al., 2010; Zhang et al., 2009, 2011).",60ff14a8bce8e43c0cb85f5433ed57409d7b2899>45a5b5b6883064ab16de2f0e424ed83fceedf2b8_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"However, localization of additional γ-tubulin that surrounds the centrosomes only during mitosis does require microtubules (McNally and Thomas, 1998; Khodjakov and Rieder, 1999).",efaa33b745b1420d6bf13873a4df09680c7984e0>eb08d5a6852228a7b45deb22f1bf4dde945020c6_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"…is consistent with the currently-held notion that dsRNA targets the gene-specific destruction of mRNA in a wide variety of eukaryotic cells (Fire et al., 1998; Tabara et al., 1998; Tabara et al., 1999; Sanchez-Alvorado and Newmark, 1999; Grishok et al., 2000; Boscher and Labouesse, 2000;…",99169f18a30bfcf450d1c08304d4bfb73476a4bc>15aa036f9761495ca881a3f21b09ceab90821104_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
Materials and Methods,Spermatogonial transplantation was performed and recipients were prepared as described previously [7].,11452d7d54ccb0a38251b21baf988d2cef80de18>df07e27533ed02351a090850f93259b5ba6df76e_10,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"More examples of contradictory results have been observed in bovines; some reports (Zakhartchenko et al., 2001; Bhuiyan et al., 2004) indicated a significant decrease in blastocyst",39aca52b748a1e8969413295fc736ea90fd930ea>b7c9b2632ffbcef4a35a6bf0c85686d9f11c1532_9,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,"Increasing the number of EPIYA motifs leads to an increase in the level of CagA phosphorylation (Higashi et al., 2002a; Argent et al., 2004, 2008a; Zhang et al., 2005; Naito et al., 2006).",91e70dd09e2f11ae1fe9d50a158e0897982c59f5>4df6b3366a6941eb537d4990fa82e963205feca2_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
RESULTS,", 2008), and Srebp1/2 are known to interact with Hmgb1/2; their activity has been reported to be enhanced by Hmgb1 (Najima et al., 2005).",38f75407e33adf753372ad61a05761abff2bd9b1>8067ef3a4a8c620f615368408a811747cacb15dc_1,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"This is in keeping with the report of Blickstein et al,[3,15] which showed that the higher the combined twin birthweight the less likely it was to deliver discordant pairs.",15783ea4c99fe2b855d04f3531395faff82aa95a>f2e93d20d57b3f296911c399705fa5eed006c764_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"Coinciding with our results, it has been previously reported that i.p. injections of β-glucan reduced IFN-γ production induced by concanavalin A in mice (Pelizon et al., 2003).",48efd0b4da7649dc865f6ea10a54e78004bb6b0a>5e9bdbeb12fb3d726cc5f6caaa0bb85e4319644e_2,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"The occurrence of soft tissue tumors in such field of low-dose irradiation (LDRI) has also been emphasized by other authors [50, 52, 53] reporting the development of tumors of the skull bone and neck after exposure to full-mouth diagnostic dental X-ray film [3] and to irradiation for enlarged tonsils [54] and thymus [55].",2e8e515a004bee99bb91d5344dc91e8855e3395e>0da4a90c139164532691e314425354c2a80a9578_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"In this chapter we will present the formalism for these different kinds of beamformers in their scalar form, then develop the formalism for a vector beamformer (Sekihara et al., 2001, Quraan and Cheyne 2010) and an eigenstate-projected vector beamformer (Sekihara et al., 2001).",e364d59a1dc537f2d51cebd7647030833629bb07>d18293e4a7b9d11f93cd5384005e289e00122f07_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
INTRODUCTION,", 2010), and retromer tubule formation is reported to be maximal at the time of Rab5-to-Rab7 conversion (Cullen and Korswagen, 2012; van Weering et al., 2012).",ad241e15eb1e767b6a8bf91e081ba89fa1784d84>88ed7f5b40fbe4f1d212b2967eff5cba78c85d75_4,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"A serotype-shift occurred over the years with a predominance of DENV-1in 2010, DENV-2 in 2013 and again DENV-1 in 2016 [25].",ac5fb99eda6b95e9703bb3d93417df5f7373e662>e9891d090394b105cc1a6a85ccf55253ca96728c_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Scope and extensions,"Existing applications of neural meanfield models to anesthesiainduced changes in spontaneous EEG rhythmsmostly focused on understanding the dynamical mechanisms underlying bi-phasic responses (Bojak and Liley, 2005; Hutt and Longtin, 2010; Steyn-Ross et al., 1999).",bb21e98f4b1b7bc5a2e89fda1139d98763d78bab>c14be2a7007e022da13889d804a540d0c0c34264_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"In phytophagous arthropods, atranorin was reported to elicit a significant avoidance (Nimis and Skert 2006) or to reduce growth of insect larvae (Pöykkö et al. 2005; Slansky 1979) but no protective effect of atranorin was noticed in snails (Gauslaa 2005; Hesbacher et al. 1995).",044557c18b4243f8d567b874fca8b9f908b3bdb1>500ac9f017ebe3886fc573ecd7b2d16d72f3cd29_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Background,"…has been undertaken at several locations including the Ganges delta of southern Bangladesh (Wang and Imhoff 1993), Everglades National Park (Simard et al. 2006), Madagascar (Pasqualini et al. 1999), Kakadu and Daintree National Parks in Australia, French Guiana and Malaysia (Lucas et al. 2007).",a90db26255bf4bd0251dd1d6d3c48af2eb4072ac>41d7d2f90f1c139a9537a1be239e9c823ea22646_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. INTRODUCTION,"In [3], the authors show the bandwidth towards the L0 scratchpad memory is around L0Y times larger than the minimal (where each pixel is transferred once from the L1 to the L0 scratchpad memory).",1101d5e8b3bac5243ccd4251c3f60b59e35ade37>a0372f7f85607ad16681f4e506c195645c5863ee_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
VGluT3,"…Takamori et al. (2001)
Endocrine cells, diencephalon (thalamus);
presynaptic
Brainstem catecholaminergic groups
Stornetta et al. (2002a, b); PVN (Herman et al. 2004); ME CRH cells, PP Wittmann et al. (2013)
Not Viable (die at birth)
Moechars et al. (2006), WallenMackenzie et al. (2006)
VGluT3…",e4381e08dc4560734aa844b63619c29f3ca7b4b7>5d53f75d1e3aad4e9d7b9c280541cfc3ff7f9bae_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
5.5 Experiments,"Following Carreras (2007) and Koo and Collins (2010), before training we transform the training set trees to be the best achievable within the model class (i.e., the closest projective tree or 1-Endpoint-Crossing tree).",f78435844f6f59630273f3c8a31800fb4b59aa65>c205e82ddf7d9bd759cca3e16baa60c49cecf056_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"A series of genes (termed exo) involved in succinoglycan biosynthesis have been cloned and sequenced (10, 11, 12, 67, 68, 103, 113).",b4465f300d540ee0c4261522c64a9f7c7684ab9f>05ea19e2b660025765aac6249f47f9183d0472d8_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"The main distribution of 13-galactosidase-producing cells in tissues from the different lines is summarized in Table I in parallel with the evaluation of collagen VI expression products in control embryos at different locations (Marvulli et al., 1996).",78df72c544579fbdc6f5c9a4b38434699e645873>a0c52ddd655648ddf0c426553bf0957e8abcc02a_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Technical considerations,"…a high overlap between PSD-95 and PLCb1 signals in the cerebral cortex, thus confirming a well defined subcellular location for PLCb1, which previously could be only demonstrated by Western blot analysis of subcellular fractions (Taguchi et al., 2007) or electron microscopy (Fukaya et al., 2008).",80160aee8cdcbc26e6b65dd28fd07246c349140c>9b191008e5ce88ef5fb79694fa7fb8d7ab10170b_8,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Methods,Neurodevelopmental outcome was assessed at 24 months using the Revised Griffith‚Äôs scales of Mental Development [24].,10f06d20a2bdecc69cb1d253d30ecad4b2c69405>31a2353cc61f4e73c7eee8f3c1a03ebf13373ee6_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"The antioxidant BHT accumulates predominantly in the lung and induces alveolar epithelial damage because of its action on AEC1 (21), which is followed by the proliferation of pulmonary parenchymal cells resembling human UIP (20,22).",89d1c36c9e9e05ab0dc2f1e50589913eb2f57e80>0dc94c0e43086e09e474a0da769ce280e9dad6b0_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"However, unlike Cochrane and Saa-Requejo (2000), the authors do not use a Sharpe ratio criterion to restrict the price interval for assets in incomplete markets, but a generalized version of the coherent risk measure first introduced by Artzner et al. (1999). Carr et al. (2001) argue that economic agents will not only invest in any arbitrage opportunity, but also invest in any acceptable opportunity.",fbea85be172e21855cee46d6209bae3f95941ff3>17f2bd869df15476815b6d6a98d9a3184ea6c714_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"Stress and the subsequent activation of the HPA axis facilitate the acquisition of cocaine self-administration (Tidey and Miczek, 1997; Mantsch et al., 1998); manipulations of the HPA axis resulting in a reduction of function through pharmacological or surgical means can attenuate the acquisition…",3ebfb729621e55b8d9439ddb58074a342e7c1207>ef00264a745c3fc01019f8483502fcec7986e0c6_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"For example, elk may form smaller groups when exposed to wolf predation risk in relatively closed habitats (Creel & Winnie 2005), but form larger groups in open habitats where wolf densities are higher (Gower et al. 2009).",21c7fa119032c976a89625081e9fc8497aadf520>dbcb2c6cbf1ce8aa365028b1437e918b30e5e0a5_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"…mechanisms of resistance to CDDP have been described, including reduced intracellular accumulation of CDDP; increased detoxification of CDDP by the thiols, glutathione and metallothionein; increased DNA-repair activity; and increased tolerance to DNA damage (Galluzzi et al. 2012; Kelland 2007).",6456c9c786e55a6232fb8ab9d6fff3c50d5fc2c1>f589dd5ca77e324b57154ffb843cf9857e94d33e_0,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Introduction,2000) and in skeletal muscle denervated by transection of the sciatic nerve (Baumeister et al. 1997; Tsukamoto et al. 2002).,0fd548a07b8d113f5f6a6255abe191668120ac53>74809ba2f3834024b56f5b0784655b1435708c60_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
,"Other potentially carcinogenic effects of insulin resistance stem from abnormal levels of glucose and fatty acids, which include: altered intracellular signaling, chronic inflammation resulting from production of reactive oxygen species, and enhanced proliferation of transformed colonocytes due to increased energy supply [1].",fbfe2f43a8cc743b21e4177e5d0440849db1724e>412434187174932788fc14d7d51f88ff45b3c0d8_2,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Background,Recent studies have shown that the global flux distribution in oleaginous Chlorella protothecoides and Chlamydomonas reinhardtii remains stable under nitrogen limiting conditions and is controlled by the availability of carbon precursors (Xiong et al. 2010; Fan et al. 2012).,3e883835fcb3fcbfdae9ca37dc7a20fb267e3248>8b36f7dd382ff8ffa3c65fde7405085423a6ac77_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Discussion,"…Lemos et al., 2015) at baseline, allowed for the division of the aMCI group according to an AD-alike pattern of impairment at baseline (Lemos et al., 2015), and was associated with the risk of conversion to AD in follow-up studies (Auriacombe et al., 2010; Petersen, 2007; Sarazin et al., 2010).",9462acef826a6b495fe8fb281660ee4418bb840e>21aaceb3fc27e8cc831e25191d967daa0d8962bf_8,background,"The citation does not explicitly describe methods or results, likely providing general context."
1 Introduction,"While there have been remarkable developments in the last ten years [1–6], structuring large-scale visual data is still an active research area and any improvements would have wide applicability.",5a5de10b3d41dd0c6f6a8f290808e074c5187d01>79f61a170f1b2133713feec94b5fa730841273ea_10,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"…2010b), jasmonic acid (JA) (Truman et al., 2007), azeleic acid (AA) (Jung et al., 2009), a CDR1-derived peptide (Xia et al., 2004), plastid glycerolipids (Nandi et al., 2004; Chaturvedi et al., 2008), G3P (Chanda et al., 2011) and an abietane diterpenoid, dehydroabietinal (Chaturvedi et al., 2012).",acf4f8e5546446508c0f22bd5e386abb1e91426b>09310473ea701efa2a538e2aa1a5c1d000075be3_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"rural, we calculated the relative prevalence of a missing value by other demographic and fitness variables using logistic regression [49].",466370a07796a549b71a23078832e7be97aeba2c>d016cfb73144a94baa41c9af746332480a3c3648_4,background,"The citation does not explicitly describe methods or results, likely providing general context."
Pulse wave velocity,"Consequently, the findings of our study suggest that increased PWV noted in new onset diabetes after kidney transplantation [48,49] may already, at least in part, be present before the transplantation and a result of pre-diabetes or insulin resistance in the uraemic patients awaiting a kidney transplant.",bd957c2217d3dc716e74dabd06895e8c1db0cc02>c99d1450150bc0d23a6ce14519d9e73c3e5ca126_0,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Discussion,"However, even when using adjusted relative risk estimates, PAF estimates can be biased if there are unaccounted confounding factors leadings to overestimation of PAF [51].",94cbcbee26d7d31b6facccd18a6c2672737b9827>29ab3e4228c5deaab49209006a761f77b64feaaf_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,Other mutations in the sgl locus were identi®ed as demonstrating a cuticle phenotype similar to that of wingless (wg) mutants (HaÈ cker et al. 1997; Haerry et al. 1997).,7a9bf55cf151a07a0ca8237e765ba0d1412c73ee>e232a3393e6366652d41b8619b6ffd7b240194e3_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
Interpretation Bias in Social Anxiety,"In a follow-up study using a clinical sample (Amir et al. 2012), individuals with SAD similarly lacked a positive reaction time bias relative to controls without SAD but, interestingly, did not differ in their reaction time to endorse or reject negative interpretations of social sentences.",0244de3610992df3e77b65de794861810a673a48>89634acca7f883bb26a15b1db301488353d8654d_8,background,"The citation does not explicitly describe methods or results, likely providing general context."
Methods,"The data on avian influenza outbreaks in Vietnam from 2003 through to 2006 was provided by the Epidemiology Unit of the Department of Animal Health, Ministry of Agriculture and Rural Development of Vietnam; the characteristics of this dataset are explained elsewhere [6].",345180770287ab9188e2dcfa2fd2ba0cd58214bb>9fd5ad25d7ed98d5586e815e260ebc98f490134e_2,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"With regard to family fit, there is evidence that a minority of deaf couples would prefer to have deaf children and would consider using prenatal diagnosis to identify and terminate a hearing fetus (Middleton et al., 2001).",ea92be6e5a2c9249991326f5e9f847e20e470322>2f3e26e993c38d346b279a043e05dfc140edf561_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"reported that a temporary bite change occurs in most patients the morning after removal of the appliance, and permanent occlusal changes have been observed after longterm treatment with OAs in individual cases [19].",7e51c787152017274805a1db5d5c80a5d161dc54>bd657e005f384849ca6b918f6e61fb0d3a2738ce_0,background,"The citation provides context, references prior work, or summarizes existing knowledge."
Discussion,"This study differed from others where NE was achieved in that the birds were given liquid inoculations rather than cultures mixed with feed (Chalmers et al., 2007; Cooper & Songer, 2010).",052157cc6f9b1faee4edf6bf3908236b30cdebf3>3e042815478444b00b9ad534c0be190fcdd9d7d4_1,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
Discussion,Prolonged imbalance of systemic hemodynamics and insufficient postprandial sympathetic activation might cause PPH (Jansen and Lipsitz 1995; Umehara et al. 2014; Hirayama et al. 1993; Mathias 1991).,3874a1098d1e34b107a9c4ba1a1e200070de15b0>7d253f083d75e9cba4af91751451b379fb5c37a3_3,background,"The citation does not explicitly describe methods or results, likely providing general context."
1. Introduction,"…reflect early face processing mechanisms related to the structural encoding of faces (Bentin and Deouell, 2000; Bentin et al., 1996; Eimer, 2000a; Holmes et al., 2003) and has been found to be insensitive to changes in facial expression (Eimer et al., 2003; Holmes et al., 2003) or familiarity…",0ab21c6d52fff004a9b617cf818da94fdcabbde3>7fc5bdd1248a6cddca1a52c32f33ee9adfcfae26_1,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"Our results were consistent with the findings in the literature that visual impairment is common among patients in rehabilitation facilities (Cox et al., 2005; Grue et al., 2009; Lieberman et al., 2004; Lotery et al., 2000; Park et al., 2005; Squirrell et al., 2005; Wainapel et al., 1989).",0d16e1ff081f170337e530014df950ac5a5e83c8>f050627e5d20b53029f1d9fd334276ead4162e53_0,result,"The citation presents findings, outcomes, or conclusions from an experiment or study."
2. Methods,"All femurs were fractured by simulating a fall on the greater trochantor in a modified Hayes-fall configuration (Courtney et al., 1995).",959b02dc505a08bbad56f255ab7e0290a189749c>2734273d37e052007920ae7f93183abefe5f87d4_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
Introduction,"The potential for BCL-xL to modulate other channels in the outer mitochondrial membrane is suggested by the finding that BCL-xL regulates the open state of the mitochondrial voltage-dependent anion channel (VDAC) in synthetic membranes (Degterev et al., 2001; Vander Heiden et al., 2001).",27db8d3a2c85cbc34deef51ce4cd850b431b4b34>a81b383bf01b572d28e1566650d938a6fe414e57_5,background,"The citation does not explicitly describe methods or results, likely providing general context."
DISCUSSION,"This is in agreement with some results where different antibiotics led to less negatively charged zeta potential in Gram-negative bacteria as a consequence of modification or complete loss of LPS and/or lipid A from the outer membrane (Winfield et al., 2005; Gooderham and Hancock, 2009; Moffatt et al., 2010).",6a804576072855ed8986d32dcefabc3e5e9cee8a>69f6fc72599d7e1a304943183ea73b17f617f391_0,background,"The citation does not explicitly describe methods or results, likely providing general context."
